27,1,Guide to Middle-earth,March on Helm's Deep,
27,"2,3",Playing the Game,Siege Games,
27,"4,5",Playing the Game,Helm's Deep,
27,"6,7,8,9",Playing the Game,Siege Movement,
27,"10,11,12,13",Battle Game,Hold the Fort,
27,"14,15",Painting Workshop,Uruk-hai Seige Troops,
27,"16,17,18,19,20,21",Modelling Workshop,Palisade Fort,
27,,,,Seige Troop Spur
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
28,1,Guide to Middle-earth,Haldir at Helms Deep,
28,"2,3,4,5",Playing the Game,Fighting in a Fortress,
28,"6,7,8,9,10,11",Battle Game,The Helm's Deep Campaign,
28,"12,13,14,15",Painting Workshop,Haldir,
28,"16,17,18,19,20,21",Modelling Workshop,Fortress Walls and Towers,
28,,,,Haldir
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
29,1,Guide to Middle-earth,"Theoden, King of Rohan",
29,"2,3,4,5",Playing the Game,Assaulting the Battlements,
29,"6,7,8,9,10,11",Battle Game,The Deeping Wall,
29,"12,13,14,15",Painting Workshop,King Theoden,
29,"16,17,18,19,20,21",Modelling Workshop,The Gatehouse,
29,,,,Theoden
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
30,1,Guide to Middle-earth,Uruk-hai Berserker,
30,"2,3,4,5",Playing the Game,The Fortress,
30,"6,7,8,9,10,11,12,13",Battle Game,Retreat to the Hall,
30,"14,15",Painting Workshop,Uruk-hai Berserker,
30,"16,17,18,19,20,21",Modelling Workshop,The Fortress Keep,
30,,,,Uruk-hai Beserker
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
31,1,Guide to Middle-earth,The Heroes of Helm's Deep,
31,"2,3,4,5",Playing the Game,Siege Weapons,
31,"6,7,8,9,10,11,12,13",Battle Game,Retreat to the Hall (Turns 11-24),
31,"14,15",Painting Workshop,An Uruk-hai Army,
31,"16,17,18,19,20,21",Modelling Workshop,Fortress Tower,
31,,,,Seige Troop Spur
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
32,1,Guide to Middle-earth,Brave Little Hobbits,
32,"2,3",Playing the Game,The Last March of the Ents,
32,"4,5,6,7,8,9",Battle Game,Breach the Dam,
32,"10,11,12,13,14,15",Painting Workshop,Merry and Pippin,
32,"16,17,18,19,20,21",Modelling Workshop,Dam at Isengard,
32,,,,Merry and Pippin + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
33,1,Guide to Middle-earth,The Battle for Osgiliath,
33,"2,3,4,5",Playing the Game,Different Ways to Play,
33,"6,7,8,9,10,11",Battle Game,Besieged !,
33,"12,13,14,15",Painting Workshop,Soldiers of Gondor,
33,"16,17,18,19,20,21",Modelling Workshop,Ruins of Ogsiliath,
33,,,,12 Warriors of Minas Tirith
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
34,1,Guide to Middle-earth,Osgiliath has Fallen,
34,"2,3,4,5",Playing the Game,Banners,
34,"6,7,8,9,10.11",Battle Game,Defend the Bridge,
34,"12,13",Painting Workshop,Gondorian Banner Bearer,
34,"14,15,16,17,18,19,20,21",Modelling Workshop,Osgiliath Bridge,
34,,,,Gondorian Banner Bearer
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
35,1,Guide to Middle-earth,"Galadriel, Elf Queen of Lothlorien",
35,"2,3,4,5",Playing the Game,The Forces of Lothlorien,
35,"6,7,8,9,10,11",Battle Game,Crossing the Silverlode,
35,"12,13",Painting Workshop,The Lady Galadriel,
35,"14,15,16,17,18,19,20,21",Modelling Workshop,Elven Tree Platform,
35,,,,Galadriel + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
36,1,Guide to Middle-earth,Ancient elves of Middle-earth,
36,"2,3,4,5",Playing the Game,The Army of Lorien,
36,"6,7,8,9",Battle Game,Watchpost Attack,
36,"10,11,12,13",Painting Workshop,Elrond,
36,"14,15,16,17,18,19,20,21",Modelling Workshop,Elven Watchpost,
36,,,,Elrond
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
37,1,Guide to Middle-earth,The Ringwraiths,
37,"2,3,4,5",Playing the Game,The Ringwraiths,
37,"6,7,8,9,10,11",Battle Game,Hunting the Ringbearer,
37,"12,13",Painting Workshop,The Witch King of Angmar,
37,"14,15,16,17,18,19,20",Modelling Workshop,Amon Sul,
37,21,Modelling Workshop,Bucklebury Ferry,
37,,,,Witch King + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
38,1,Guide to Middle-earth,"Wormtongue, Agent of Saruman",
38,"2,3",Playing the Game,Grima Wormtongue,
38,"4,5,6,7,8,9,10,11",Battle Game,Assault on Orthanc (Turns 1-5),
38,"12,13,14,15",Painting Workshop,Article Title,
38,"16,17,18,19,20,21",Modelling Workshop,Saruman's Industry,
38,,,,Grima Wormtongue
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
39,1,Guide to Middle-earth,Gandalf the White,
39,"2,3",Playing the Game,Wizards of Middle-earth,
39,"3,4,5,6,7,8,9,10,11",Battle Game,Assault on Orthanc (Turns 6-12),
39,"12,13,14,15",Painting Workshop,Gandalf the White,
39,"16,17,18,19,20,21",Modelling Workshop,The Tower of Orthanc,
39,,,,Gandalf the White
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
40,1,Guide to Middle-earth,Wolves of Isengard,
40,"2,3,4,5",Playing the Game,Mounted Warriors,
40,"6,7,8,9,10,11",Battle Game,Retreat from Edoras,
40,"12,13,14,15,16",Painting Workshop,Rohan Royal Guard,
40,17,Painting Workshop,Creating Banner Bearers,
40,"18,19,20,21",Modelling Workshop,Barrows,
40,,,,Royal Guard Mounted Banner + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
41,1,Guide to Middle-earth,Creatures of Darkness,
41,"2,3,4,5",Playing the Game,Monsters of Mordor,
41,"6,7,8,9,10,11,12,13",Battle Game,River Assault,
41,"14,15",Painting Workshop,Minions of Sauron,
41,"16,17,18,19,20,21",Modelling Workshop,Mordor Assault Boat,
41,,,,12 Mordor Orcs
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
42,1,Guide to Middle-earth,Overrun by Mordor,
42,"2,3,4,5",Playing the Game,The Army of Mordor,
42,"6,7,8,9,10,11",Battle Game,Battle in the Ruins,
42,"12,13",Battle Game,Points Matches,
42,"14,15",Painting Workshop,Mordor Orc Banner Bearer,
42,"16,17,18,19,20,21",Modelling Workshop,Osgiliath Tower,
42,,,,Mordor Orc Banner Bearer + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
43,1,Guide to Middle-earth,The Failure of Faramir,
43,"2,3,4,5",Playing the Game,The Army of Gondor,
43,"6,7,8,9,10,11",Battle Game,Retreat from Osgiliath,
43,"12,13,14,15",Painting Workshop,Captain Faramir,
43,"16,17,18,19,20,21",Modelling Workshop,Gondorian Roads,
43,,,,Mounted Faramir
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
44,1,Guide to Middle-earth,The Last Alliance,
44,"2,3,4,5",Playing the Game,Grand Strategies,
44,"6,7,8,9",Battle Game,Battle in Gorgoroth,
44,"10,11,12,13,14,15",Painting Workshop,Captain Faramir,
44,"16,17,18,19,20,21",Modelling Workshop,Plains of Mordor,
44,,,,8 Elves and 4 Men of Gondor + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
45,1,Guide to Middle-earth,Sauron's Treachery,
45,"2,3",Guide to Middle-earth,The One Ring,
45,"4,5,6,7",Playing the Game,Elves of the Last Alliance,
45,"8,9,10,11,12,13",Battle Game,Battle in Gorgoroth,
45,"14,15,16,17",Painting Workshop,Gil-galad,
45,"18,19,20,21",Modelling Workshop,Mordor Lava Flow,
45,,,,Gil-galad
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
46,1,Guide to Middle-earth,The Fall of Sauron,
46,"2,3,4,5",Playing the Game,Forces of Sauron,
46,"6,7,8,9",Battle Game,The Last Alliance,
46,"10,11,12,13",Battle Game,Setting up the Forces,
46,"14,15,16,17",Painting Workshop,King Elendil,
46,"18,19,20,21",Modelling Workshop,Your Own Projects,
46,,,,Elendil + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
47,1,Guide to Middle-earth,Isildur's Bane,
47,"2,3,4,5",Playing the Game,Men of the Last Alliance,
47,"6,7",Battle Game,The Last Alliance (Turns 3-4),
47,"8,9",Battle Game,Fury of the Dark Lord (Turns 5-6),
47,"10,11",Battle Game,The Final Struggle (Turns 7-12),
47,"12,13",Battle Game,Conclusions,
47,"14,15,16,17",Painting Workshop,Isildur,
47,"18,19,20,21",Modelling Workshop,Mountains of Mordor,
47,,,,Isildur
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
ROTK Sp Ed,1,Guide to Middle-earth,The Return of the King,
ROTK Sp Ed,"2,3",Battle Game,Assault on Minas Tirith,
ROTK Sp Ed,"4,5",Battle Game,Assault on Minas Tirith (Battle Report),
ROTK Sp Ed,"6,7",Battle Game,StorMinas Tirithhe Gates! (Turns 1-3),
ROTK Sp Ed,"8,9",Battle Game,Battle in the Streets (Turns 4-9),
ROTK Sp Ed,"10,11",Battle Game,The Return of the King (Turns 10-12),
ROTK Sp Ed,"12,13",Battle Game,Minas Tirith Overrun! (Turns 13-15),
ROTK Sp Ed,"14,15",Battle Game,The Final Confrontation (Turns 16-23),
ROTK Sp Ed,"16,17",Battle Game,Conclusions,
ROTK Sp Ed,"18,19,20,21",Painting Workshop,Aragorn the King,
ROTK Sp Ed,,,,Aragorn on Brego
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
48,1,Guide to Middle-earth,Scourge of Middle Earth,
48,"2,3",Playing the Game,Competitive Play,
48,"4,5",Playing the Game,Choosing your Troops,
48,"6,7,8,9",Battle Game,Defend the Garrison,
48,"10,11",Battle Game,Force Selection,
48,"12,13,14,15",Painting Workshop,Gorbag,
48,"16,17,18,19,20,21",Modelling Workshop,Garrison Outpost,
48,,,,Gorbag
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
49,1,Guide to Middle-earth,Pass of the Spider,
49,"2,3,4,5",Playing the Game,Battle Game Tactics,
49,"6,7,8,9,10,11",Battle Game,Treachery at Cirith Ungol,
49,"12,13,14,15",Painting Workshop,Shagrat,
49,"16,17,18,19,20,21",Modelling Workshop,The Tower of Cirith Ungol,
49,,,,Shagrat
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
50,1,Guide to Middle-earth,Rohan Enslaved!,
50,"2,3,4,5",Playing the Game,Special Scenario Rules,
50,"6,7,8",Battle Game,Sauruman's War Campaign,
50,"9,10,11",Battle Game,Message to Edoras,
50,"12,13,14,15",Painting Workshop,Soldiers of Rohan,
50,"16,17,18,19,20,21",Modelling Workshop,Rohan Cottages,
50,,,,12 Warriors of Rohan
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
51,1,Guide to Middle-earth,Banners of Rohan,
51,"2,3",Playing the Game,Specialised Scenarios,
51,"4,5",Playing the Game,Creating Specialised Scenarios / Scenario Ideas,
51,"6,7,8,9,10",Battle Game,Restore the King,
51,11,Battle Game,Restore the King - Campaign Report,
51,"12,13",Painting Workshop,Gamling,
51,"14,15,16,17,18,19,20,21",Modelling Workshop,Meduseld,
51,,,,Gamling
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
52,1,Guide to Middle-earth,Shieldmaiden of Rohan,
52,"2,3,4,5",Playing the Game,The Army of Isengard,
52,"6,7,8",Battle Game,Assault on Edoras,
52,9,Battle Game,Saruman's War Campaign,
52,"10,11",Battle Game,Attack the Walls (Turns 1-2),
52,"12,13",Battle Game,The Gate Falls (Turns 3-4),
52,"14,15,16,17",Painting Workshop,Eowyn,
52,"18,19,20,21",Modelling Workshop,Rohan Palisades,
52,,,,Eowyn
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
53,1,Guide to Middle-earth,Loyal to Rohan,
53,"2,3,4,5",Playing the Game,The Army of Rohan / Lords of Rohan,
53,"6,7",Battle Game,Assault on Edoras (Turns 5-6),
53,"8,9",Battle Game,Retreat to Meduseld (Turns 7-12),
53,"10,11",Battle Game,Defence of the Hall (Turns 13-22),
53,"12,13",Battle Game,Assault on Edoras - Conclusions,
53,"14,15",Painting Workshop,Hama,
53,"16,17,18,19,20,21",Modelling Workshop,Rohan Towers and Gates,
53,,,,Hama
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
54,1,Guide to Middle-earth,"Gwaihir, The Windlord",
54,"2,3",Playing the Game,Flying Creatures,
54,"4,5,6,7",Battle Game,Escape from Orthanc,
54,"8,9,10,11,12,13",Painting Workshop,Painting Techniques,
54,"14,15,16,17,18,19,20,21",Modelling Workshop,Modelling Techniques,
54,,,,Set of Ruins
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
55,1,Guide to Middle-earth,The White Tree of Gondor,
55,2.3.4.5.6.7,Playing the Game,Competitive Arnies,
55,"8,9,10,11,12,13,14,15",Battle Game,Competitive Scenario,
55,"14,15",Painting Workshop,Minas Tirith Banner Bearer,
55,"16,17,18,19,20,21",Modelling Workshop,Walls of Minas Tirith,
55,,,,Minas Tirith Banner Bearer (Mtd)
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
56,1,Guide to Middle-earth,Lieutenant of Mordor,
56,2.3.4.5.6.7,Playing the Game,The Siege of Minas Tirith,
56,"8,9,10,11,12,13",Battle Game,Break the Gates,
56,"14,15,16,17",Painting Workshop,Gothmog,
56,"18,19,20,21",Modelling Workshop,Minas Tirith City Gates,
56,,,,Gothmog on foot
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
57,1,Guide to Middle-earth,Kingdom of Men,
57,"2,3",Guide to Middle-earth,The Kingdom of Gondor,
57,"4,5,6,7,8,9",Playing the Game,Gaming Clubs,
57,"10,11,12,13,14,15",Battle Game,Assassinate the Steward!,
57,"16,17",Painting Workshop,Denethor,
57,"18,19,20,21",Modelling Workshop,The Fountain Court,
57,,,,Denethor
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
58,1,Guide to Middle-earth,The Shadow of Mordor,
58,"2,3,5,5,6,7",Playing the Game,Battlefields,
58,"8,9,10,11,12,13",Battle Game,Resue the Prisoners,
58,"14,15,16,17",Painting Workshop,Orc Captain,
58,"18,19,20,21",Modelling Workshop,Orc Encampment,
58,,,,Orc Captain
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
59,1,Guide to Middle-earth,The Fate of Faramir,
59,"2,3,5,5,6,7",Playing the Game,The Lord of the Rings,
59,"8,9,10,11,12,13",Battle Game,The Doomed Charge,
59,"14,15",Painting Workshop,Captain Faramir,
59,"16,17,18,19,20,21",Modelling Workshop,Gondorian Buildings,
59,,,,Faramir on Foot
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
60,1,Guide to Middle-earth,Lords of Gondor,
60,"2,3,4,5",Playing the Game,The Council of Elrond,
60,"6,7,8,9,10,11",Battle Game,War in Osgiliath,
60,"12,13,14,15",Painting Workshop,Captain Boromir,
60,"16,17,18,19,20,21",Modelling Workshop,Siege Engines,
60,,,,Boromir (new)
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
61,1,Guide to Middle-earth,"Aragorn, Ranger of the North",
61,"2,3,4,5",Playing the Game,The Long Dark of Moria,
61,"6,7,8,9",Battle Game,Escape from Bree,
61,"10,11,12",Painting Workshop,Strider,
61,13,Painting Workshop,"Aragorn, Hero of Helms Deep",
61,"14,15,16,17,18,19,20,21",Modelling Workshop,The Village of Bree,
61,,,,Aragorn (Strider)
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
62,1,Guide to Middle-earth,Bilbo Baggins,
62,"2,3,4,5,6,7",Playing the Game,The Fellowship Breaks,
62,"8,9,10,11,12,13",Battle Game,Ambush in Hobbiton,
